iri	kind	section	hierarchy	pcf	label	parents	wiring	definition
ex:OmniChannelStrategy	ice	3			Omni-Channel Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes how to market and serve customers seamlessly across all supported channels.
ex:OnboardingProgramEvaluation	ice	7			Onboarding Program Evaluation	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of the performance and effectiveness of an employee onboarding program based on new-employee
ex:OnboardingProgramSpecification	ice	7			Onboarding Program Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the induction and onboarding program through which new employees acquire the knowledge, skills, and behav
ex:OpportunityPipelineData	ice	5			Opportunity Pipeline Data	cco:ont00000853		A Descriptive Information Content Entity that describes potential service-delivery opportunities and their stage within a sales or engagement pipeline.
ex:OpportunityPrioritization	ice	3			Opportunity Prioritization	cco:ont00000965		A Directive Information Content Entity that prescribes a ranked ordering of market opportunities consistent with organizational capabilities and strategy.
ex:OpportunityQuantification	ice	3			Opportunity Quantification	cco:ont00000853		A Descriptive Information Content Entity that describes quantified value indicators attached to identified market opportunities.
ex:OpportunityValidation	ice	3			Opportunity Validation Result	cco:ont00000853		A Descriptive Information Content Entity that describes confirmation of the feasibility and reasonableness of identified market opportunities, including whether
ex:OpportunityWinPlan	ice	3			Opportunity Win Plan	cco:ont00000965		A Directive Information Content Entity that prescribes how to close a lead and win a sales opportunity.
ex:OrganizationalCharacteristicsAnalysis	ice	1			Organizational Characteristics Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the key attributes differentiating an organization in its market and underpinning its operations.
ex:OrganizationalDesign	ice	1			Organizational Design	cco:ont00000965		A Directive Information Content Entity that prescribes the intended structure and relationships among an organization's units and roles.
ex:OrganizationalObjective	ice	1			Organizational Objective	cco:ont00000965;cco:ont00000476		An Objective that prescribes a projected state an organization intends to achieve in pursuit of its mission.
ex:OrganizationalPerformanceStrategy	ice	13			Organizational Performance Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes an Organization's approach for measuring, tracking, streamlining, and improving internal performance.
ex:OrganizationalRiskAnalysis	ice	13			Organizational Risk Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the impact and probability of threats to an Organization's critical assets.
ex:OrganizationalStructureAdoptionDecision	ice	1			Organizational Structure Adoption Decision	cco:ont00000965		A Directive Information Content Entity that prescribes that a particular organizational structure is to serve as the accepted basis of an organization's operati
ex:OrganizationalStructureAssessment	ice	1			Organizational Structure Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the evaluated breadth, depth, and implications of an organization's structural makeup.
ex:OutboundTransportationPlan	ice	4			Outbound Transportation Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the dispatch, transportation, and delivery of outbound products to their destinations.
ex:OutsourcingNeedsStatement	ice	4			Outsourcing Needs Statement	cco:ont00000853		A Descriptive Information Content Entity that states which portion of an organization's logistics activities is needed to be transferred to outside suppliers, p
ex:OutsourcingPolicy	ice	4			Outsourcing Policy	cco:ont00000965		A Directive Information Content Entity that prescribes rules and regulations governing the contracting out of business processes to other parties.
ex:PackagingStrategy	ice	3			Packaging Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes how products and services are bundled and wrapped into marketable offerings.
ex:PartTrackingRecord	ice	10			Part Tracking Record	cco:ont00000853		A Descriptive Information Content Entity, about the parts of end-of-life assets, that records each part's source, rationale for disposition, and destination as 
ex:PartnerEvaluation	ice	3			Partner/Alliance Evaluation	cco:ont00000853		A Descriptive Information Content Entity that describes the assessed performance of an organization's sales partners and alliances.
ex:PartnerMasterData	ice	3			Partner/Alliance Master Data	cco:ont00000853		A Descriptive Information Content Entity that describes the maintained corpus of data on an organization's sales partners and alliances.
ex:PartnerRequirementSpecification	ice	2			Design/Development Partner Requirement Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the essential requirements for collaborators involved in the design or development of a product or servic
ex:PartnershipSelectionDecision	ice	1			Partnership Selection Decision	cco:ont00000965		A Directive Information Content Entity that prescribes which partnerships, alliances, and make-versus-buy relationships an organization will pursue to support i
ex:PayStatement	ice	7			Pay Statement	cco:ont00000853		A Descriptive Information Content Entity that records an employee's wages, bonuses, deductions, gross pay, and net pay for a pay period.
ex:PaymentApproval	ice	9			Payment Approval Decision	cco:ont00000965		A Directive Information Content Entity that prescribes that a particular payment, reimbursement, or credit change is authorized to proceed.
ex:PaymentAuthorization	ice	6			Payment Authorization	cco:ont00000965		A Directive Information Content Entity that prescribes that a payment be made to a claimant.
ex:PaymentInstrument	ice	12			Payment Instrument	cco:ont00000537;obo:BFO_0000040		A Financial Instrument consisting of a quantity of money (cash or funds) transferred from one Agent to another in settlement of an obligation or exchange.
ex:PaymentMatchResult	ice	9			Payment Match Result	cco:ont00000853		A Descriptive Information Content Entity that records whether an accounts-payable pay-file entry matches the corresponding vendor master and purchase-order reco
ex:PaymentRecord	ice	12			Payment Record	cco:ont00000853		A Descriptive Information Content Entity that records a payment made to a service provider in settlement of an obligation, including payer, payee, amount, and t
